Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Line.SBT_8266, 0.01015595, -0.008379755, 0.01015595, -0.008379755, 0, 0
Line.SBT_8267, 0.346833, 0.2563245, 0.346833, 0.2563245, 0, 0
Line.SBT_9005, 0.6812862, 0.5216348, 0.6812862, 0.5216348, 0, 0
Line.SBT_9006, 0.3438613, 0.254137, 0.3438613, 0.254137, 0, 0
Line.SBT_9007, 1.866501, 0.6219846, 1.866501, 0.6219846, 0, 0
Line.SBT_23652, 2.189571, 0.7296222, 2.189571, 0.7296222, 0, 0
Line.SBT_23653, 1.918224, 0.634342, 1.918224, 0.634342, 0, 0
Line.SBT_23654, 0.1900133, 0.1404366, 0.1900133, 0.1404366, 0, 0
Line.SBT_23683, 0.09164206, 0.0676849, 0.09164206, 0.0676849, 0, 0
Line.SBT_23816, 19.6869, 6.596751, 19.6869, 6.596751, 0, 0
Line.SBT_23817, 3.004931, 2.351603, 3.004931, 2.351603, 0, 0
Line.SBT_23818, 0.5007998, 0.3872042, 0.5007998, 0.3872042, 0, 0
Line.SBT_23705, 0.01992072, 0.0006189121, 0.01992072, 0.0006189121, 0, 0
Line.SBT_9008, 14.45684, 11.32957, 14.45684, 11.32957, 0, 0
Line.SBT_9289, 1.860005, 1.453704, 1.860005, 1.453704, 0, 0
Line.SBT_9290, 0.9516253, 0.3106523, 0.9516253, 0.3106523, 0, 0
Line.SBT_9291, 1.78077, 1.390129, 1.78077, 1.390129, 0, 0
Line.SBT_9292, 0.4767448, 0.1536233, 0.4767448, 0.1536233, 0, 0
Line.SBT_9293, 0.113599, 0.08373154, 0.113599, 0.08373154, 0, 0
Line.SBT_8531, 0.05619765, 0.03874814, 0.05619765, 0.03874814, 0, 0
Line.SBT_9528, 0.09426085, 0.02323422, 0.09426085, 0.02323422, 0, 0
Line.SBT_9530, 2.669978E-010, -0.009963915, 2.669978E-010, -0.009963915, 0, 0
Line.SBT_9531, 0.1746967, 0.04306844, 0.1746967, 0.04306844, 0, 0
Line.SBT_9532, 1.016157E-010, -0.008180987, 1.016157E-010, -0.008180987, 0, 0
Line.SBT_34099, 0.1329226, 0.03275917, 0.1329226, 0.03275917, 0, 0
Line.SBT_34100, 0.4180029, 0.1344186, 0.4180029, 0.1344186, 0, 0
Line.SBT_3518, 1.526701E-009, -0.01131325, 1.526701E-009, -0.01131325, 0, 0
Line.SBT_3280, 1.169875E-010, -0.003950671, 1.169875E-010, -0.003950671, 0, 0
Line.SBT_3281, 3.728213E-011, -0.004049299, 3.728213E-011, -0.004049299, 0, 0
